Accession Number,Additional Notes,Alternate Term(s),Alternate Title,Artist,Brief Bio,Category,Class,Classification,Collected By,Collection Method,Collector Number,Common Name,Conservation,Creator,Credit Line,Cultural Region,Culture,Culture/Nationality,Date Collected,Date Made,Date Recorded,Definition,Description,Determined By,Diet Info,Division,Edition Number,Elevation,Family,Formation,Gender and Age,Genre/Form,Genus,Geologic Age,Habitat,Identification,Index/Track No.,Inscriptions and Colophons,Instrument,Kingdom,Lead Collector(s),Life History,Location,Materials,Materials Glossary,Materials and Techniques,Measurements,Microhabitat,Name,Nationality,Object Type,Order,Other Collector(s),Performer,Period,Phylum,Place Collected,Place Collected Details,Place Made,Place Recorded,Preparation Type,Preparation(s),Range,Recording Equipment,Scientific Name,Scientific Name Authority,Seasonality,Species,Specimen Name,Subclass,Suborder,Subspecies,Subspecies Authority,Superfamily,Term,Title,Type,Variety,Variety Authority,Website,image_url,url
2005.5.349,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,date unknown,,,,,,,,,,,,,,,,,,,,,,,,silk gauze; silk brocade,"Brocade											
											 
												
												
													
														View Materials Glossary Details »",,overall: 871.5 cm x 77.5 cm,,,,yardage,,,,Qing 19th century,,,,China,,,,,,,,,,,,,,,,,Aqua Brocaded Silk Gauze,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_349_g05_s20-02v01.jpg,https://search.museums.ualberta.ca/21-19571
2005.5.84,,,,unknown,,clothing,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,date unknown,,,,,,,,,,,,,,,,,,,,,,,,silk satin embroidered with silk,"Embroidery											
											 
												
												
													
														View Materials Glossary Details »",,,,,,skirt and collar,,,,Qing 19th century,,,,China,,,,,,,,,,,,,,,,,Embroidered Silk Wedding Skirt and Collar,,,,,,https://search.museums.ualberta.ca/21-19306
2005.5.411,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,date unknown,,,,,,,,,,,,,,,,,,,,,,,,embroidery; gold wrapped silk thread; silk; silk floss; peacock feathers; pearle cotton thread; copper-wrapped silk thread; rayon; silk jacquard,"Embroidery											
											 
												
												
													
														View Materials Glossary Details »",,overall: 136 cm x 155 cm,,,,parasol cover,,,,Qing 19th century,,,,China,,,,,,,,,,,,,,,,,Silk and Peacock Feather Parasol Cover,,,,,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_411_ve_s21-03v01.jpg,https://search.museums.ualberta.ca/21-19633
2010.20.1.5.4,,,,Gao Jin,,published works,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1771,,,"One set of the Yuzhi nanxun shengdian [Magnificent Record of the Southern Tours], edited by Gao Jin et al. Volume 28, Chapter 68-70. Baoshang [Honours and emoluments]. Woodblock printed, thread binding.",,,,,,,,,,,,,,,,,,,,,"printed woodblock, thread binding",,,overall: 29.8 cm x 20.5 cm,,,,book,,,,,,,,China: Beijing,,,,,,,,,,,,,,,,,"Magnificent Record of the Southern Tours, volume 28, chapters 68-70",,,,,https://media.museums.ualberta.ca/UAAC/bfw/2010/2010_020_001_005_004_s20-02v01.jpg,https://search.museums.ualberta.ca/21-23706
2004.19.9.12,,,,Yao Song,,albums,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,date unknown,,,,,,,,,,,,,,,,,,,,,,,,ink and colour on paper,,,overall: 3.3 cm x 16.8 cm x 26.6 cm; image: 16 cm x 9.9 cm,,,,album leaf,,,,Qing 17th-18th centuries,,,,China,,,,,,,,,,,,,,,,,Album Leaf from Album of Landscapes,,,,,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_009_012_s21-10v01.jpg,https://search.museums.ualberta.ca/21-20509
2005.5.244,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1662-1722,,,,,,,,,,,,,,,,,,,,,,,,gold wrapped silk thread; peacock feathers; silk tapestry weave,"Tapestry Weave											
											 
												
												
													
														View Materials Glossary Details »",,,,,,fragment,,,,Qing 17th-18th centuries,,,,China,,,,,,,,,,,,,,,,,Three Silk Tapestry Weave Fragments from a Hanging,,,,,,https://search.museums.ualberta.ca/21-19466
2004.19.68.1.5,,,,unknown,,prints,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1767-1774,,,"A printed calligraphic piece with two square red seals.  This manuscript goes along with engraving .68.1.26. It is number 1, chronologically, in the set of 16 copperplate engravings.",,,,,,,,,,,,,,,,,,,,,silk; paper; ink,,,overall: 63.4 cm x 112.4 cm; image: 52.3 cm x 93 cm,,,,print,,,,Qing 18th century,,,,China,,,,,,,,,,,,,,,,,Print from the Qianlong Emperor’s Conquests,,,,,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_068_001_005_s21-03v01.jpg,https://search.museums.ualberta.ca/21-19874
2005.5.373,,,,unknown,,clothing,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,date unknown,,,,,,,,,,,,,,,,,,,,,,,,black silk damask embroidered with silk and metal-wrapped threads,"Damask; Embroidery											
											 
												
												
													
														View Materials Glossary Details »
View Materials Glossary Details »",,overall: 134.5 cm x 130 cm,,,,robe,,,,Qing 19th century,,,,China,,,,,,,,,,,,,,,,,Black Silk Damask Front Opening Robe,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_373_ve_s20-02v01.jpg,https://search.museums.ualberta.ca/21-19595
2005.5.395.6,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1662-1722,,,"Fragment of yellow silk with blue, purple, and pink clouds embroidered in satin stitch. Each cloud is outlined with two strands of gold metal-wrapped thread, which is couched in place with silk yarns. The clouds are ruyi-shaped and feature an ombré colour effect. The selvedge is folded over on one side and stitched in place.",,,,,,,,,,,,,,,,,,,,,gold wrapped silk thread; silk floss; silk jacquard; embroidery,"Embroidery											
											 
												
												
													
														View Materials Glossary Details »",,overall: 33.2 cm x 31.1 cm,,,,fragment,,,,Qing 17th-18th centuries,,,,China,,,,,,,,,,,,,,,,,Fragment of Embroidered Silk,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_395_006_ve_s20-02v01.jpg,https://search.museums.ualberta.ca/21-20961
UADBG-B-17245,,,,,,,,,,,24777,,,,,,,,1997-06-09,,,,,Tong Chao,,,,1340 m,,,,,,,"Closed crown coniferous forest, Pinus dominated Picea-Abies-Larix dark conifer forest, about 255 years old with 95% canopy light, about 7% shrub cover and 45% herbaceous cover",,,,,,René J. Belland,,,,,,,on log,,,,,Sylvie Forest and Fu Xing,,,,,"Changbai Shan, ancient volcano straddling NE China/North Korea border; along road up to Mount Changbai summit, Chinese plot 2",,,,,,,Hypnum cupressiforme,Hedw.,,,,,,,,,,,,,,,,https://search.museums.ualberta.ca/34-178865
2004.19.58.2,,,Pear Blossom,Chen Zhuan,,albums,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1722,,,A painting of a branch of pear blossoms,,,,,,,,,,,,,,,"Four short columns of calligraphy in black ink located on the bottom right of the image, with a red square seal.",,,,,,ink; paper,,,sheet: 30.1 cm x 38.4 cm; image: 24.9 cm x 31.1 cm,,,,album leaf,,,,Qing 18th century,,,,China,,,,,,,,,,,,,,,,,"Album Leaf from Flowers, Fruits, and Fish",,,,,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_058_002_s21-03v01.jpg,https://search.museums.ualberta.ca/21-19913
2004.19.3.25,,,,unknown,,albums,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,date unknown,,,A painting of three butterflies and two black beetles.,,,,,,,,,,,,,,,,,,,,,ink; paper,,,sheet: 35.4 cm x 43.1 cm; image: 21.3 cm x 22.6 cm,,,,album leaf,,,,Qing 18th-19th centuries,,,,China,,,,,,,,,,,,,,,,,Album Leaf from Insects,,,,,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_003_025_s21-03v01.jpg,https://search.museums.ualberta.ca/21-20112
2005.5.396,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,date unknown,,,,,,,,,,,,,,,,,,,,,,,,gold wrapped silk thread; silk brocade; silk satin; cotton,"Brocade											
											 
												
												
													
														View Materials Glossary Details »",,overall: 126 cm x 469 cm,,,,hanging,,,,Qing 20th century,,,,China,,,,,,,,,,,,,,,,,Brocade Silk Hanging,,,,,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_396_re_m01_s23-01v01.jpg,https://search.museums.ualberta.ca/21-19618
2005.5.87.6,,,,unknown,,costume accessories,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,date unknown,,,,,,,,,,,,,,,,,,,,,,,,silk satin; embroidery; silk floss; cotton; gold wrapped silk thread; linen; plastic; metal; paper,"Embroidery											
											 
												
												
													
														View Materials Glossary Details »",,overall: 24.5 cm x 9 cm x 1 cm,,,,purse,,,,Qing 19th century,,,,China,,,,,,,,,,,,,,,,,Embroidered Silk Purse,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_087_006_ve_s20-02v01.jpg,https://search.museums.ualberta.ca/21-20907
2005.5.564,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1875-1908,,,"Qing Period (1644-1911), Fourth Rank Civil Official (Wild Goose)

(source: John E. Vollmer & Jacqueline Simcox, ""Emblems of Empire: Selections from the Mactaggart Art Collection,"" (The University of Alberta Press and University of Alberta Museums, Edmonton, Alberta, 2009), p. 74.)",,,,,,,,,,,,,,,,,,,,,ink; linen; silk; metallic thread; tapestry weave,,,,,,,rank badge,,,,Qing 19th-20th centuries,,,,China,,,,,,,,,,,,,,,,,Front and Back Panels of a Rank Badge for a Fourth Rank Civil Official,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_564_002_re_s19-12v01.jpg,https://search.museums.ualberta.ca/21-19786
UADBG-B-24117,,,,,,,,,,,24439,,,,,,,,1997-06-07,,,,,Tong Chao,,,,1640 m,,,,,,,"Forested cliff (medium sized) in Picea-Abies-Betula dark conifer forest, about 430 years old with 80% canopy light, about 5% shrub cover and 45% herbaceous cover",,,,,,René J. Belland,,,,,,,,,,,,Sylvie Forest and Fu Xing,,,,,"Changbai Shan, ancient volcano straddling NE China/North Korea border; Along road up to Mount Changbai summit, opposite Chinese plot 3",,,,,,,Campylostelium saxicola,(Web. & D. Mohr) B.S.G.,,,,,,,,,,,,,,,,https://search.museums.ualberta.ca/34-178632
2004.19.23,,,Farewell Party for Wang Ao,Shen Zhou,,paintings,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1492,,,"A hanging scroll painting of a mountain landscape with two buildings on the shore of a lake. Inside the buildings, a farewell party for Wang Ao is taking place. To the right of the gathering sits an artist, possibly Shen Zhou himself, busily painting. He is likely attempting to complete a painting for Wang Ao so that he and other friends can write poems on it for their friend to take on his journey.",,,,,,,,,,,,,,,"Signed by Shen Zhou, impressed with one seal of the artist and inscribed by the artist with a dedication to Wang Ao (1450-1524).  Additional inscriptions are by the scholar officials Wen Lin (1445-1499), and Wu Kuan…												

													Signed by Shen Zhou, impressed with one seal of the artist and inscribed by the artist with a dedication to Wang Ao (1450-1524).  Additional inscriptions are by the scholar officials Wen Lin (1445-1499), and Wu Kuan (1435-1504).  The scroll is impressed with nine collector's seals.												
Read More +",,,,,,ink and colour on paper,,,sheet: 234.7 cm x 51.7 cm; image: 146.3 cm x 36.5 cm,,,,hanging scroll,,,,Ming 15th century,,,,China,,,,,,,,,,,,,,,,,Landscape Painted for Wang Ao,,,,,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_023_d01_s21-10v01.jpg,https://search.museums.ualberta.ca/21-19088
2005.5.307,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,ca. 1900,,,,,,,,,,,,,,,,,,,,,,,,silk; silk brocade; silk satin; silk tapestry weave,"Tapestry Weave; Brocade											
											 
												
												
													
														View Materials Glossary Details »
View Materials Glossary Details »",,,,,,panel,,,,Qing 19th-20th centuries,,,,China,,,,,,,,,,,,,,,,,Two Silk Tapestry Weave Panels from a Dragon Robe,,,,,,https://search.museums.ualberta.ca/21-19529
2005.5.431,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,date unknown,,,,,,,,,,,,,,,,,,,,,,,,silk brocade; sateen,"Brocade											
											 
												
												
													
														View Materials Glossary Details »",,overall: 71.5 cm x 1007 cm,,,,yardage,,,,Qing 20th century,,,,China,,,,,,,,,,,,,,,,,Silk Brocade,,,,,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_431_g05_s22-02v01.jpg,https://search.museums.ualberta.ca/21-19653
2005.5.350.2,,,,unknown,,costume accessories,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,date unknown,,,,,,,,,,,,,,,,,,,,,,,,brass; silk; silver,,,overall: 15.5 cm,,,,mirror,,,,Qing 19th century,,,,China,,,,,,,,,,,,,,,,,Gilt Metal Mirror from a Guard's Uniform,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_350_002_ve_s20-02v01.jpg,https://search.museums.ualberta.ca/21-20929
2010.21.8,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,18th-19th century,,,"Upper dark blue silk ground panel has a five-clawed gold dragon, flanked by two gold dragons, surrounded by eight buddhist symbols, flaming pearls, bats, peaches and etc. The lower panel in cream coloured silk has nine gold dragons, surrounded by the eight treasures.",,,,,,,,,,,,,,,,,,,,,Silk tapestry embroidered with metal-wrapped threads and lined with silk,"Embroidery											
											 
												
												
													
														View Materials Glossary Details »",,overall: 143 cm x 234 cm,,,,panel,,,,Qing 18th-19th centuries,,,,China,,,,,,,,,,,,,,,,,Embroidered Dark Blue and Cream Fragmentary Panel,,,,,https://media.museums.ualberta.ca/UAAC/fullres/2010/2010_021_008_ve_s21-03v01.jpg,https://search.museums.ualberta.ca/21-23814
,,,,Shi Lu,"Chinese, 1919-1982",,,,,,,,,,,,,,,date unknown,,,"Shi Lu was a prominent Chinese painter and wood engraving artist. Shi was known for his highly textured, dynamic paintings that employed strong colors and bold, expressive brushwork. Shi was originally named Feng Yaheng but later changed his name to Shi Lu in honour of two artists who influenced his work: the 17th-century painter Shitao and the 19th-century writer Lu Xun. He received training in guohua painting (a traditional Chinese style of ink-and-wash painting) at Dongfang Art College in Chengdu in 1934 before enrolling at West China Union University in Chengdu in 1938. After joining the Communist Party in 1946, Shi incorporated elements of social realism into his style. He travelled to India and Egypt as a representative of the People's Republic of China in 1955-56. During the Cultural Revolution, he was publicly denounced and imprisoned for three years due to the “Hei Hua shijian” (The Black Painting exhibition), which criticized his bourgeois ideas and ""counter-revolutionary"" styles. The experience led to severe persecution and humiliation on him. Although he was released in 1970, his imprisonment caused his health to deteriorate until his death in 1982.",,,,,,,,,,,,,,,,,,,,,,,,,,Shi Lu,Chinese,hanging scroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://search.museums.ualberta.ca/g/14-9033
2004.19.2.17,,,,unknown,,albums,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,date unknown,,,"This album leaf is a part of a 48-page album that depicts Chinese subjects participating in various aspects of daily life, including government business, daily life, cultural customs, modes of transportation, and corporal punishment. This leaf has an ink and watercolour drawing of two female figures. The woman on the left, labelled as “Tartar Woman”, wears a long pink robe under a blue vest and holds a long, skinny pipe. The more ornately-dressed woman on the right, “Lady of Nankin”, wears a green pleated skirt under an orange skirt with long decorated ribbons. The orange skirt may be a part of her purple robe, which has a green collar and wide sleeves with many ribbons decorating the cuff. She also wears a golden crown, earrings and a gold necklace.",,,,,,,,,,,,,,,,,,,,,ink; paper,,,overall: 38.8 cm x 28.1 cm; sheet: 17.2 cm x 28 cm; image: 11.4 cm x 18.5 cm,,,,album leaf,,,,Qing 18th century,,,,China,,,,,,,,,,,,,,,,,Album Leaf from Illustrations of Chinese Costumes,,,,,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_002_017_s21-10v01.jpg,https://search.museums.ualberta.ca/21-19969
2005.5.622,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,ca. 1900,,,,,,,,,,,,,,,,,,,,,,,,gold wrapped silk thread; silk brocade; silk satin,"Brocade											
											 
												
												
													
														View Materials Glossary Details »",,overall: 78 cm x 445 cm,,,,yardage,,,,Qing 19th-20th centuries,,,,China,,,,,,,,,,,,,,,,,Brown Silk Brocade Yardage,,,,,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_622_ve_g01_s23-01v01.jpg,https://search.museums.ualberta.ca/21-19844
2004.19.11.10,,,,Yuan Jiang,,paintings,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1719,,,,,,,,,,,,,,,,,,,,,,,,ink and colour on silk,,,,,,,hanging scroll,,,,Qing 18th century,,,,China,,,,,,,,,,,,,,,,,One Scroll from Peach Blossom Spring,,,,,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_011_010_s21-10v01.jpg,https://search.museums.ualberta.ca/21-20457
2004.19.2.35,,,,unknown,,albums,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,date unknown,,,"This album leaf is a part of a 48-page album that depicts Chinese subjects participating in various aspects of daily life, including government business, daily life, cultural customs, modes of transportation, and corporal punishment. This leaf contains an ink and watercolour depiction of an ornate funeral sedan being carried by 16 valets. The valets are all dressed in white, which is a customary funeral attire colour in China.",,,,,,,,,,,,,,,,,,,,,ink; paper,,,sheet: 17.2 cm x 28 cm; image: 11.4 cm x 18.5 cm,,,,album leaf,,,,Qing 18th century,,,,China,,,,,,,,,,,,,,,,,Album Leaf from Illustrations of Chinese Costumes,,,,,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_002_035_s21-10v01.jpg,https://search.museums.ualberta.ca/21-20046
2004.19.1.1.37,,,,unknown,,albums,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,ca. 1759,,,"This album leaf is part of a section of the illustrations of costumes from the Qianlong court, Huangchao liqi tushi (“The Regulations for the Ceremonial Paraphernalia of the [Qing] Dynasty”). In total there are 34 folios that depict costumes appropriate for the Empress Dowager or Empress to wear at the imperial court along with short descriptive captions. This is the right leaf of one folio (attached to 2004.19.1.36) and it contains seven columns of regular script calligraphy describing the regulations of a court vest (chaogua), the third style, for the empress dowager and empress. The text on this leaf is continued on the attached leaf on the left side.",,,,,,,,,,,,,,,"皇太后 皇后朝褂三 謹按 本朝定制 皇太后 皇后朝褂 色用石青 片金緣  繡文前後立龍各二 中... Translation of the Chinese text: Court vest chaogua, the third style, for the Empress… 

													皇太后 皇后朝褂三 謹按 本朝定制 皇太后 皇后朝褂 色用石青 片金緣  繡文前後立龍各二 中... Translation of the Chinese text: Court vest chaogua, the third style, for the Empress Dowager and Empress/In accordance with the decree of the present dynasty:/The court vest of the Empress Dowager and Empress is in azurite-blue colour and with gold trimming. There are embroidered patterns with two standing-dragon motifs on each of the front and back. The middle... [text continued on left leaf, 2004.19.1.1.36]""
(Translated and transcribed by Lisa Claypool, Ed., China’s Imperial Modern: The Painter’s Craft, Edmonton, AB: University of Alberta Museums, 2012, p. 103; Modified by Isabel Pi-fen Chueh) 
On the reverse of the piece ""(32)"" is handwritten in pencil on the upper right corner. 
Read More +",,,,,,ink; silk; paper,,,sheet: 42.2 cm x 40.9 cm; image: 32.8 cm x 30.5 cm,,,,album leaf,,,,Qing 18th century,,,,China,,,,,,,,,,,,,,,,,Album Leaf from Illustrations of Costumes from the Qianlong Court,,,,,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_001_001_037_s21-03v01.jpg,https://search.museums.ualberta.ca/21-20245
2005.5.254,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,date unknown,,,,,,,,,,,,,,,,,,,,,,,,gold wrapped silk thread; silk; silk cut velvet,,,overall: 338 cm x 181 cm,,,,hanging,,,,Qing 19th-20th centuries,,,,China,,,,,,,,,,,,,,,,,Red Velvet Hanging with a Central Shou or Long Life Character,,,,,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_254_re_s21-03v01.jpg,https://search.museums.ualberta.ca/21-19476
2005.5.184,,,,unknown,,clothing,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1900-1912,,,,,,,,,,,,,,,,,,,,,,,,brown silk gauze brocaded with metal-wrapped threads and silk,"Brocade											
											 
												
												
													
														View Materials Glossary Details »",,overall: 136 cm x 75.5 cm; neck to hem: 136 cm; cuff to cuff: x 75.5 cm,,,,robe,,,,Qing 20th century,,,,China,,,,,,,,,,,,,,,,,Brown Silk Dragon Robe,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_184_ve_s20-02v01.jpg,https://search.museums.ualberta.ca/21-19406
2010.16.1.14,,,,Pan Gongshou,,albums,,,,,,,,,Purchased by Museums and Collections Services,,Chinese,,,ca. 1790,,,,,,,,,,,,,,,,,,,,,,,,ink and colour on paper,,,overall: 49 cm x 32 cm; sheet: 49 cm x 32 cm; image: 42 cm x 23 cm,,,,album leaf,,,,,,,,"China: Jiangsu, Yangzhou",,,,,,,,,,,,,,,,,Album Leaf from Album of Landscape Paintings,,,,,https://media.museums.ualberta.ca/UAAC/ppt/2010/10_016_001_014s01v01.jpg,https://search.museums.ualberta.ca/21-23582
2005.5.135,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,date unknown,,,,,,,,,,,,,,,,,,,,,,,,silk floss; silk satin,"Embroidery											
											 
												
												
													
														View Materials Glossary Details »",,overall: 153 cm x 54.5 cm,,,,chair cover,,,,Qing 18th century,,,,China,,,,,,,,,,,,,,,,,Embroidered Blue Silk Chair Cover with Designs of Cranes,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_135_re_m01_s20-02v01.jpg,https://search.museums.ualberta.ca/21-19357
2022.7.6.1.1,,,,unknown,,textiles,,,,,,,,,Purchased by University of Alberta Museums,,Chinese,,,1875 - 1908,,,Qilin rank badges from the Guangxu Period (1875 - 1908),,,,,,,,,,,,,,,,,,,,,Polychrome silk floss and metal-wrapped thread embroidery on silk satin,,,overall: 29.5 cm x 15.3 cm,,,,rank badge,,,,,,,,China,,,,,,,,,,,,,,,,,Front Left Panel of a Rank Badge for a First Rank Military Official,,,,,,https://search.museums.ualberta.ca/21-27270
2010.21.6,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,late 19th century,,,Dark blue cut velvet rug with a voided circular medallion in the center surrounded by flowers. The rug is bordered with scrolling peony vines.,,,,,,,,,,,,,,,,,,,,,Silk tapestry velvet cut with lining,,,overall: 213 cm x 124.2 cm x .4 cm,,,,carpet,,,,Qing 19th century,,,,China,,,,,,,,,,,,,,,,,Dark Blue Cut Velvet Carpet,,,,,https://media.museums.ualberta.ca/UAAC/fullres/2010/2010_021_006_re_s21-03v01.jpg,https://search.museums.ualberta.ca/21-23812
2005.5.162,,,,unknown,,clothing,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,date unknown,,,,,,,,,,,,,,,,,,,,,,,,blue silk satin embroidered with silk and metal-wrapped threads,"Embroidery											
											 
												
												
													
														View Materials Glossary Details »",,overall: 63.5 cm x 121.8 cm; neck to hem: 63.5 cm; cuff to cuff: x 121.8 cm,,,,jacket,,,,Qing 19th century,,,,China,,,,,,,,,,,,,,,,,Embroidered Blue Silk Jacket,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_162_op_s19-12v01.jpg,https://search.museums.ualberta.ca/21-19384
1989.1.24.a,,,,,,Container,,,,,,,,,Donated by Mrs. Barbara Dorosh,East Asian,East Asian,,,ca. 1930,,,Brown basket  with separate lid.,,,,,,,,not applicable,,,,,,,,,,,,,,,plant fibre; coiled; woven; braided,overall: 3.8 cm,,,,basket,,,,,,,,Asia: China,,,,,,,,,,,,,,,,,Chinese basket bottom,,,,,,https://search.museums.ualberta.ca/13-29441
2005.5.158,,,,unknown,,clothing,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1900 - 1912,,,,,,,,,,,,,,,,,,,,,,,,dark blue silk gauze brocaded with metal-wrapped threads,"Brocade											
											 
												
												
													
														View Materials Glossary Details »",,overall: 137 cm x 93.2 cm; neck to hem: 137 cm,,,,robe,,,,Qing 20th century,,,,China,,,,,,,,,,,,,,,,,Blue Silk Gauze Dragon Robe for a Man,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_158_op_s19-12v01.jpg,https://search.museums.ualberta.ca/21-19380
2005.5.201,,,,unknown,,clothing,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,ca. 1880,,,,,,,,,,,,,,,,,,,,,,,,red silk damask embroidered with silk and metal-wrapped threads,"Damask; Embroidery											
											 
												
												
													
														View Materials Glossary Details »
View Materials Glossary Details »",,overall: 91.1 cm x 160.5 cm,,,,jacket,,,,Qing 19th century,,,,China,,,,,,,,,,,,,,,,,Embroidered Red Silk Jacket for a Woman,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_201_ve_s20-02v01.jpg,https://search.museums.ualberta.ca/21-19423
2005.5.544.2,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1862-1874,,,"Rank badges, always made in pairs, were placed on the front and back of surcoats in order to communicate their wearer’s rank during the Ming (1368-1644) and Qing dynasties (1644-1911). Different motifs were regulated by the imperial court, including bird motifs used only for civil officials, while beasts were used for military officials. The hierarchy of ranks within these categories was represented by specific birds and beasts. This rank badge features a crane, representing a first rank civil official. It is centrally-positioned, perched on a rock with its wings outstretched, gazing toward the sun in the upper left corner. Surrounding the birds are peonies, clouds, and auspicious ornaments.",,,,,,,,,,,,,,,,,,,,,copper-wrapped silk thread; gold wrapped silk thread; ink; linen; silk; silver wrapped silk thread; tapestry weave,,,overall: 28.9 cm x 31.4 cm,,,,rank badge,,,,Qing 19th century,,,,China,,,,,,,,,,,,,,,,,Back Panel of a Rank Badge for a First Rank Civil Official,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_544_002_ve_s19-12v01.jpg,https://search.museums.ualberta.ca/21-20611
2005.12.73,,,,,,Personal Gear,,,,,,,,,Bequest of Lois Hole,,,,,2003,,,"Brown round stone, fairly flat inscribed with a gilded Chinese character on one side, and with the word 'Health' on the other.",,,,,,,,,,,,,,,,,,,,,,,,,,,,talisman,,,,,,,,,,,,,,,,,,,,,,,,,brown inscribed stone,,,,,,https://search.museums.ualberta.ca/13-171451
2005.5.639.2,,,,unknown,,textiles,,,,,,,,,Gift of Sandy and Cécile Mactaggart,,Chinese,,,1662-1722,,,(bird looking left),,,,,,,,,,,,,,,,,,,,,silk floss; silk twill; metallic thread; embroidery,"Embroidery											
											 
												
												
													
														View Materials Glossary Details »",,overall: 134.8 cm x 53.1 cm,,,,chair cover,,,,Qing 17th-18th centuries,,,,China,,,,,,,,,,,,,,,,,Embroidered Silk Chair Cover,,,,,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_639_002_re_m01_s20-02v01.jpg,https://search.museums.ualberta.ca/21-20810
